,Clade
sp|M1VDX3|DTCYB_STRSQ__bacterial,6
sp|D5SJ87|LADIS_STRCL__bacterial,6
sp|E4MYY0|HCS_KITSK__bacterial,6
sp|B2J4A4|GERAS_NOSP7__bacterial,6
sp|C7PLV2|GCAS_CHIPD__bacterial,6
sp|D9XD61|EAES_STRVT__bacterial,6
sp|E4N7E5|CEABS_KITSK__bacterial,6
sp|A0A0H5BN57|CLDD_STRCP__bacterial,6
sp|A0A0H5BB10|CLDB_STRCP__bacterial,6
sp|Q9AJE4|CYC1_KITGR__bacterial,6
sp|Q9K498|EIZFM_STRCO__bacterial,6
sp|O50406|DITCY_MYCTU__bacterial,6
sp|D2B747|ECUB_STRRD__bacterial,6
sp|Q5KSN5|ECDPS_STREO__bacterial,6
sp|K0K750|BCAS_SACES__bacterial,6
sp|P33990|SQHC_ZYMMO__bacterial,6
sp|B5GS26|DCADS_STRCL__bacterial,6
sp|C9K1X5|COTB2_STRMJ__bacterial,6
sp|A9GK58|ECUBS_SORC5__bacterial,6
sp|Q9AJE3|CYC2_KITGR__bacterial,6
sp|Q9K499|CYC1_STRCO__bacterial,6
sp|M5AW86|BCLTS_BACCS__bacterial,6
sp|A7NH01|TMUUS_ROSCS__bacterial,6
sp|B5GW45|TMUUS_STRCL__bacterial,6
sp|Q82RR7|TPC1_STRAW__bacterial,6
sp|I2N045|TSUKU_STRT9__bacterial,6
sp|Q9MB42|BAMS_GLYGL,7
sp|P0DI76|CIN1_ARATH,7
sp|G8GJ96|CLDS9_SALSC,7
sp|Q84SM8|3CAR1_PICAB,7
sp|E7DN63|BAMS_SOLLC,7
sp|B3TPQ6|BCUSY_MAGGA,7
sp|Q6Z2X6|CAS_ORYSJ,7
sp|Q1ZXA1|C521A_DICDI,7
sp|Q84ZW8|ACSS_MAIZE,7
sp|B4FVP3|C71Z8_MAIZE,7
sp|O82140|BAMS1_PANGI,7
sp|O81192|BPPS_SALOF,7
sp|Q84LF2|5EAS3_NICAT,7
sp|F1CKI6|3CAR1_PICSI,7
sp|Q84LG0|5EAS4_NICAT,7
sp|Q948Z0|TPSD6_ABIGR,7
sp|O24475|TPSD3_ABIGR,7
sp|Q38710|TPSDV_ABIGR,7
sp|I6RAQ6|TPS1_MATCR,7
sp|A0A2K9RFZ7|TPS1_VITAC,7
sp|K7WDC8|TS21I_MAIZE,7
sp|F6M8H7|SMST_SANMU,7
sp|Q50EK2|TPSD1_PINTA,7
sp|P85964|TPSD1_PSEMZ,7
sp|O24474|TPSD2_ABIGR,7
sp|Q5GJ60|TPS6_MAIZE,7
sp|B9RI00|TPS6_RICCO,7
sp|Q9LUE0|TPS19_ARATH,7
sp|A4FVP2|TPS03_ARATH,7
sp|I6R4V5|TPS2_MATCR,7
sp|B9SCB6|TPS2_RICCO,7
sp|C5YHI2|TPS2_SORBI,7
sp|A0A3L6G998|TS23M_MAIZE,7
sp|Q39980|VTSS3_HYOMU,7
sp|J7LQ09|TPS7_PHYDL,7
sp|Q9M7C9|TPSDB_ABIGR,7
sp|M4HYC6|TPSD2_PINCO,7
sp|Q54BE5|TPS8_DICDI,7
sp|Q6XDB5|TPSD2_PICSI,7
sp|Q6JD70|TPS5A_MAIZE,7
sp|Q6JD69|TPS5B_MAIZE,7
sp|B2C4D0|TS23B_MAIZE,7
sp|Q8H2B4|LLOS_MENAQ,7
sp|E3W206|SPIBS_SANSP,7
sp|B8XA41|SBS_SOLHA,7
sp|E3W205|SAUBS_SANAS,7
sp|Q9LS68|PEN7_ARATH,7
sp|F6M8H4|SAST_SANAL,7
sp|P0CV94|NES1_FRAAN,7
sp|Q84KL6|PT1_PINTA,7
sp|G8GJ94|SCLS_SALSC,7
sp|B5A434|MTPS1_SANAL,7
sp|B6EXY6|LUP4_ARATH,7
sp|E2E2N7|BCGS_ORIVU,7
sp|O04408|KSA_PEA,7
sp|Q1G1A4|LAS1_ARATH,7
sp|B6SCF3|MTS1_HUMLU,7
sp|B6SCF4|MTS2_HUMLU,7
sp|Q9LVY2|PEN3_ARATH,7
sp|Q50L36|ISPS_POPAL,7
sp|A0A2L0VXR0|PS_CLIPA,7
sp|A0A1L9WUI2|ANEC_ASPA1,7
sp|Q8L5K4|GTPS_CITLI,7
sp|C8XPS0|KSL1_SALMI,7
sp|Q0JA81|KSL2_ORYSJ,7
sp|H6VLG5|KSL2_SALMI,7
sp|Q2XPU7|LUPS_RICCO,7
sp|J9R1J8|MTS1_SELML,7
sp|Q9FJV8|PEN5_ARATH,7
sp|Q94G53|QH6_ARTAN,7
sp|D8S255|MTS30_SELML,7
sp|F6M8I0|MTPS2_SANAL,7
sp|B2DBF1|PDAC2_PHOAM,7
sp|P84466|LSS_BOVIN,7
sp|Q96376|LIS_CLABR,7
sp|Q08IT1|DADIS_PANGI,7
sp|A4KAG8|KSL6_ORYSJ,7
sp|Q38802|KSA_ARATH,7
sp|D8RLD3|MTS17_SELML,7
sp|Q9LUE2|TPS18_ARATH,7
sp|Q9C8E3|TPS26_ARATH,7
sp|A0A1D6LTV0|TPS26_MAIZE,7
sp|Q9LRR2|TPS17_ARATH,7
sp|Q672F7|TPS2_LOTJA,7
sp|A0A0M4M0T9|TPS28_TRIWF,7
sp|Q29VN1|TPS3_MAIZE,7
sp|O81086|TPSD1_ABIGR,7
sp|Q29VN3|TPS8_MAIZE,7
sp|B9S1N2|TPS8_RICCO,7
sp|J9R388|TPS10_SELML,7
sp|E3W202|SASY_SANAL,7
sp|A0A1B4XBG5|SDNA_SORAA,7
sp|B5A435|STPS1_SANAL,7
sp|B9RPM3|TPS9_RICCO,7
sp|A0A2K9RFZ9|TPS6_VITAC,7
sp|Q9FI27|TPS20_ARATH,7
sp|Q9LH31|TPS30_ARATH,7
sp|A0A291LSD6|TPS21_MAIZE,7
sp|Q1XBU5|TPS5_SOLLC,7
sp|A0A2K9RFZ8|TPS3_VITAC,7
sp|A0A1W6GW18|STPS3_SALMI,7
sp|Q9M7D0|TPSD9_ABIGR,7
sp|A0A178U9Y5|TP20L_ARATH,7
sp|Q9M7D1|TPSD8_ABIGR,7
sp|Q675L0|TPSLS_PICAB,7
sp|C1K5M3|PHS1_SOLLC,7
sp|P0CV97|PINS_FRAAN,7
sp|O81193|SSS_SALOF,7
sp|Q49SP4|TPGD1_POGCB,7
sp|Q947C4|TPSD1_GINBI,7
sp|M4HY05|TPSD1_PINCO,7
sp|Q84ND0|TPS2_ANTMA,7
sp|Q6WP50|BOT2_BOTFU,7
sp|E3W204|SPISY_SANSP,7
sp|Q9ZUH4|TPSA_ARATH,7
sp|Q9SYN1|PEN6_ARATH,7
sp|A0A1C9J6A7|RLC1_CITSI,7
sp|F8WQD0|SHS1_ASTTA,7
sp|K4LMW2|STS2_THAGA,7
sp|Q6Q3H3|TPSGD_VITVI,7
sp|J7LH11|TPS8_PHYDL,7
sp|O23651|TPS01_ARATH,7
sp|Q6JD71|TPS4B_MAIZE,7
sp|B6H063|PRX2_PENRW,7
sp|E3W203|SAUSY_SANAS,7
sp|Q84KL5|PT5_PINTA,7
sp|Q41594|TASY_TAXBR,7
sp|Q9LRZ6|MYRS2_ARATH,7
sp|E3W207|SAUSS_SANAS,7
sp|B9X0J1|STBOS_STERE,7
sp|Q6BE23|OXSC_CUCPE,7
sp|H2KWF1|PAKSY_ORYSJ,7
sp|O23945|PINS_FRAVE,7
sp|P0CV95|NES2_FRAAN,7
sp|K4L9M2|STS1_THAGA,7
sp|Q9SLP9|CAS1_LUFAE,7
sp|A0A1D6F9Y9|C92C6_MAIZE,7
sp|Q93YV0|GES_ARATH,7
sp|Q03471|PRX2_PENRO,7
sp|Q84KL3|PT30_PINTA,7
sp|Q6Z5J6|KSL5_ORYSJ,7
sp|Q5SBP3|LLOS_OCIBA,7
sp|C7E5V7|FARS_ZEAMM,7
sp|C7E5V8|FARS_ZEAMH,7
sp|Q2XSC5|LALIN_LAVAN,7
sp|Q5SBP1|MYRS_OCIBA,7
sp|E2IUA9|LUPS_KALDA,7
sp|A0A1S5RW73|KPS_SALDI,7
sp|Q6ZH94|LINS_ORYSJ,7
sp|Q8RWT0|LUP2_ARATH,7
sp|M4HYC8|MPIM1_PINCO,7
sp|A0A1L5YKS7|MTSL4_MARPO,7
sp|J9R393|MTS13_SELML,7
sp|Q2XSC6|LALIM_LAVAN,7
sp|Q9FR95|PEN1_ARATH,7
sp|Q9FI37|PEN4_ARATH,7
sp|Q84KL4|PT10_PINTA,7
sp|Q9FXY7|FARS_ARTAN,7
sp|S0EA85|GA6_GIBF5,7
sp|P0CV96|NES1_FRAVE,7
sp|A0A0U4CDK4|KSB_SALMI,7
sp|Q0JA83|KSL3_ORYSJ,7
sp|A1C8C3|OPHFS_ASPCL,7
sp|C7E5W0|FARS_ZEAPE,7
sp|Q04782|ERG7_CANAL,7
sp|Q9AR04|AMS1_ARTAN,7
sp|Q1AHB2|KSL11_ORYSI,7
sp|Q9FZI2|LUP5_ARATH,7
sp|Q9C5M3|LUP1_ARATH,7
sp|M4HY08|MPIM1_PINBN,7
sp|Q93X23|MYRS_QUEIL,7
sp|S0ENM8|GUDIS_GIBF5,7
sp|B3TPQ7|ATESY_MAGGA,7
sp|Q5SBP5|GCS1_OCIBA,7
sp|P0CJ43|OCISB_ARATH,7
sp|Q6PWU2|ATESY_VITVI,7
sp|O82139|CAS1_PANGI,7
sp|B8PQ84|CPS1_SALMI,7
sp|H8ZM71|ISO_ABIBA,7
sp|Q9SPN0|LLOS1_ARTAN,7
sp|M4HXW5|MISO1_PINBN,7
sp|P0CJ42|OCISA_ARATH,7
sp|Q7XAS7|ISPS_POPTM,7
sp|Q0JEZ8|KSL4_ORYSJ,7
sp|A0A125SXN1|LCC_LYCCL,7
sp|P48449|LSS_HUMAN,7
sp|A0A1L7VZE7|GUDIS_FUSPR,7
sp|M4HYP3|MISO1_PINCO,7
sp|Q00G37|KSL7_ORYSI,7
sp|A0A125SXN3|LCA_LYCCL,7
sp|Q84UV0|LINS_ARATH,7
sp|D8RNZ9|MTS22_SELML,7
sp|A0A060KY90|MYC1_SOLLC,7
sp|Q2QQJ5|KSL10_ORYSJ,7
sp|Q764T8|LUPS_GLYGL,7
sp|Q84LB2|AFS1_MALDO,7
sp|H8ZM70|LAS_ABIBA,7
sp|Q39548|KSB_CUCMA,7
sp|Q66QH3|KSL4_ORYSI,7
sp|A0A1L7U8F2|GUDIS_FUSMA,7
sp|P48450|LSS_RAT,7
sp|Q9SPN1|LLOS5_ARTAN,7
sp|J9QS25|MTS26_SELML,7
sp|A0A2U8U2L5|ASR6_SARSH,7
sp|Q9LRH8|BAMS_PEA,7
sp|H8ZM73|CAS_ABIBA,7
sp|A8NU13|COP4_COPC7,7
sp|Q2XSC4|LABER_LAVAN,7
sp|Q6ET36|CPS1_ORYSJ,7
sp|Q8LSC3|GASL_CICIN,7
sp|Q8W3Z2|LUPS_BETPL,7
sp|Q8BLN5|LSS_MOUSE,7
sp|Q40577|5EAS_TOBAC,7
sp|Q9SAK2|KSB_ARATH,7
sp|Q0JA82|KS1_ORYSJ,7
sp|A0A125SXN2|LCD_LYCCL,7
sp|Q4KSH9|BARS_ARATH,7
sp|Q4U3F6|CS_HELAN,7
sp|D0VMR6|DGUS1_AQUCR,7
sp|Q9T0J9|GBIS1_ARATH,7
sp|Q9T0K1|GBIS2_ARATH,7
sp|Q84UU4|HUMS_ARATH,7
sp|Q6EJ97|ISPS_PUEML,7
sp|C7E5V9|FARS_ZEADI,7
sp|A2PZA5|FC1_PHOAM,7
sp|F8UL80|GAS_TANPA,7
sp|Q0E088|KSL7_ORYSJ,7
sp|E2E2P0|GTPS_ORIVU,7
sp|Q6BDZ9|KSL8_ORYSJ,7
sp|A4KAG7|KSL5_ORYSI,7
sp|Q9AR86|ISPS_POPCN,7
sp|A0A075FBG7|ELS_MARVU,7
sp|S0DX56|EREMS_GIBF5,7
sp|A0A1D6KUI6|KSL4_MAIZE,7
sp|Q9UR08|ARIS_ASPTE,7
sp|Q5SBP2|FES_OCIBA,7
sp|Q948R6|IMFS_LUFAE,7
sp|F1CKI9|3CAR3_PICSI,7
sp|P0C565|CHRYS_TANCI,7
sp|P0DI77|CIN2_ARATH,7
sp|O23390|BARS1_ARATH,7
sp|C9K2Q3|BSC8_ALTBR,7
sp|Q8LSC2|GASS_CICIN,7
sp|Q9LLR9|ECS1_ARTAN,7
sp|A0A3L6G2C1|EDSM_MAIZE,7
sp|K4B6C9|EOT1_SOLLC,7
sp|Q94JS8|FARS_CITJU,7
sp|Q5SBP6|GDS_OCIBA,7
sp|A0A1D6K6U5|AN2_MAIZE,7
sp|E7DN64|DAMS_SOLLC,7
sp|A0A0U2D9C5|CPS4_SALMI,7
sp|P93665|DCS1_GOSHI,7
sp|G3CCC0|CLDS_TOBAC,7
sp|Q9LRH7|ABAMS_PEA,7
sp|Q0JF02|CPS4_ORYSJ,7
sp|D2YZP9|BISS_ZINOF,7
sp|P59287|CASS_RICCO,7
sp|Q8SA63|CARS_ARTAN,7
sp|Q8GUE4|GERS_CINTE,7
sp|Q84LF0|5EAS2_NICAT,7
sp|Q6USK1|GERS_OCIBA,7
sp|A0A1D6EFT8|EDSB_MAIZE,7
sp|Q41771|AN1_MAIZE,7
sp|O82146|BAMS2_PANGI,7
sp|A0A075F9Z3|CPS2_MARVU,7
sp|O49853|DCS4_GOSAR,7
sp|B0FGA9|GAS2_HELAN,7
sp|Q4U3F7|GAS1_HELAN,7
sp|D0VMR5|DGUSI_AQUCR,7
sp|B2KSJ5|GCSY1_CUCME,7
sp|Q2NM15|FARS_MAIZE,7
sp|E2IUA8|FRIES_KALDA,7
sp|Q10231|ERG7_SCHPO,7
sp|Q96WJ0|ERG7_PNECA,7
sp|F8UL81|CARS_TANPA,7
sp|Q5MQ85|CPS2_ORYSI,7
sp|E2IUB0|CASS_KALDA,7
sp|Q6JD73|TPS4A_MAIZE,7
sp|G5CV46|TPS31_SOLLC,7
sp|B9RHX7|TPS4_RICCO,7
sp|J7LJN5|TPS6_PHYDL,7
sp|O65434|TPS07_ARATH,7
sp|Q9LVP7|TPS16_ARATH,7
sp|Q9C748|TPS28_ARATH,7
sp|Q9LQ27|TPS22_ARATH,7
sp|Q9C6W6|TPS29_ARATH,7
sp|A0A1W6GW32|STPS1_SALMI,7
sp|Q0VHD6|TSGD1_ZINOF,7
sp|Q5SBP7|SELS_OCIBA,7
sp|B1B1U3|ZSS1_ZINZE,7
sp|U3KYL2|DS_VALOF,7
sp|A0A075FBT3|EKS_MARVU,7
sp|O65323|5EAS_CAPAN,7
sp|Q43714|DCS3_GOSAR,7
sp|P38604|ERG7_YEAST,7
sp|Q6E7D7|CPS4_ORYSI,7
sp|W0FFD7|DS_PERHD,7
sp|Q2R712|ACBSY_ORYSJ,7
sp|Q84LF1|5EAS1_NICAT,7
sp|Q8W3Z1|BAMS_BETPL,7
sp|C7ASI9|3CAR1_PICGL,7
sp|Q39760|DCS2_GOSAR,7
sp|A0A075FA51|CPS3_MARVU,7
sp|Q9UVY5|CPSKS_GIBFU,7
sp|A0A4P8GFV8|EUPE_PHOSX,7
sp|A0A1D6GQ67|C71Z6_MAIZE,7
sp|A0A075FAK4|CPS1_MARVU,7
sp|A8NE23|COP3_COPC7,7
sp|D0VMR8|DGUS3_AQUCR,7
sp|D0VMR7|DGUS2_AQUCR,7
sp|O13284|CPSKS_PHASA,7
sp|Q39761|DCS1_GOSAR,7
sp|Q6BE24|CUCS_CUCPE,7
sp|Q2XPU6|CAS1_RICCO,7
sp|P38605|CAS1_ARATH,7
sp|Q5SBP4|AZIS_OCIBA,7
sp|Q6Z5I0|CPS2_ORYSJ,7
sp|F1CKI8|3CAR2_PICSI,7
sp|A0A084R1K7|ATR13_STAC4,7
sp|Q96WT2|ACS_PLEBE,7
sp|B2KSJ6|AFSY1_CUCME,7
sp|Q6BE25|CAS1_CUCPE,7
sp|A0A0U3LQ20|CPS5_SALMI,7
sp|E2IHE0|CLDS_CISCR,7
sp|G8GJ95|CLDS3_SALSC,7
sp|G3CCC1|CABS_TOBAC,7
sp|Q9SXV6|CAS1_GLYGL,7
sp|Q8W3Z4|CAS1_BETPL,7
sp|A0A1D6HSP4|C92C5_MAIZE,7
sp|Q8W3Z3|CAS2_BETPL,7
sp|Q55D85|CAS1_DICDI,7
sp|M4HXU6|TPSD1_PINBN,7
sp|O48935|TPSBF_MENPI,7
sp|M4I1C6|NUDT1_ROSHC,7
sp|B2DBF0|PADC1_PHOAM,7
sp|P0DL13|PRO1_ARMGA,7
sp|E3W208|SPISS_SANSP,7
sp|F1CKJ1|SSS_PICSI,7
sp|Q8L5K3|RLC1_CITLI,7
sp|F6M8H5|SAUST_SANAS,7
sp|Q675L5|TPSD2_PICAB,7
sp|B1B1U4|TPSBE_ZINZE,7
sp|O22184|TPS05_ARATH,7
sp|Q49SP6|TPGD2_POGCB,7
sp|A0A1C7AAN2|TPS10_TRIWF,7
sp|O81191|SCS_SALOF,7
sp|B6SCF5|STS1_HUMLU,7
sp|O64961|TPSGC_SOLLC,7
sp|Q49SP3|TPSPS_POGCB,7
sp|Q49SP7|TPSCS_POGCB,7
sp|A0A284RNH4|PRO1_ARMOS,7
sp|E2IUA6|TARS_KALDA,7
sp|F6M8H8|SMSY_SANMU,7
sp|Q6Q3H2|TPSVS_VITVI,7
sp|B9T825|TPS12_RICCO,7
sp|B9RXW4|TPS13_RICCO,7
sp|Q9FQ27|TPSGB_SOLHA,7
sp|G5CV45|TPS32_SOLLC,7
sp|Q5UB07|TPS4_MEDTR,7
sp|I6QPS5|TPS5_MATCR,7
sp|G9MAN7|TPS4_SELML,7
sp|Q39978|VTSS1_HYOMU,7
sp|Q84NC8|TPS1_ANTMA,7
sp|A7IZZ2|TPS2_CANSA,7
sp|Q84NC9|TPS3_ANTMA,7
sp|A0A2K9RFZ2|TPS2_VITAC,7
sp|Q4QSN4|TPSBS_PSEMZ,7
sp|B6SCF6|STS2_HUMLU,7
sp|Q49SP5|TPGAS_POGCB,7
sp|Q5SBP0|TPSD_OCIBA,7
sp|J9RLZ7|TPS1_VALOF,7
sp|G1JUH1|TPS3_SOLLC,7
sp|Q6JD72|TPS5C_MAIZE,7
sp|A0A3Q7GFB5|WK72A_SOLLC,7
sp|Q675L4|TPSD1_PICAB,7
sp|Q1EG72|TPS11_MAIZE,7
sp|Q9LIA1|TPS25_ARATH,7
sp|O64405|TPSD5_ABIGR,7
sp|Q5GJ59|TPS7_MAIZE,7
sp|I6RE61|TPS4_MATCR,7
sp|A0A2K9RG07|TPS5_VITAC,7
sp|Q93YA3|TASY_TAXBA,7
sp|Q9FT37|TASY_TAXWC,7
sp|O22340|TPSDA_ABIGR,7
sp|B9T536|TPS10_RICCO,7
sp|Q84UU9|TPS06_ARATH,7
sp|B9RHP7|TPS11_RICCO,7
sp|A0A1W6GW06|STPS2_SALMI,7
sp|Q9LS76|TPS15_ARATH,7
sp|O65435|TPS08_ARATH,7
sp|J7LP58|TPS1_PHYDL,7
sp|F6M8H6|SPIST_SANSP,7
sp|Q9XJ32|VTSS1_SOLTU,7
sp|Q39979|VTSS2_HYOMU,7
sp|B9RXW0|TPS7_RICCO,7
sp|Q5W283|TPSCM_MENPI,7
sp|G1DGI7|TPS7_SELML,7
sp|B9S9Z3|TPS1_RICCO,7
sp|C5YHH7|TPS1_SORBI,7
sp|J9R5V4|TPS2_VALOF,7
sp|J9QS23|TPS9_SELML,7
sp|Q8L7G4|TPS09_ARATH,7
sp|A0A1L6Z3A0|TPS8_PSEAD,7
sp|O64404|TPSD4_ABIGR,7
sp|A0A0M5L832|TPS14_TRIWF,7
sp|A7IZZ1|TPS1_CANSA,7
sp|Q29VN2|TPS2_MAIZE,7
sp|A0A2K9RFY0|TPS4_VITAC,7
sp|I6QSN0|TPS3_MATCR,7
sp|J7LMP2|TPS5_PHYDL,7
sp|A0A1L6Z3A5|TPS5_PSEAD,7
sp|B9SBV6|TPS3_RICCO,7
sp|B9SBU9|TPS5_RICCO,7
sp|K4IAL8|TPS3_SALSC,7
